INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING
7293	绊足（降低移动速度）	14	STD_IMPACT_014	1	416	-1	23	100	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7294	绊足（降低移动速度）	14	STD_IMPACT_014	1	416	-1	23	110	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7295	绊足（降低移动速度）	14	STD_IMPACT_014	1	416	-1	23	120	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7296	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	10	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7297	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	20	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7298	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	30	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7299	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	40	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7300	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	50	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7301	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	60	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7302	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	70	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7303	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	80	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7304	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	90	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7305	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	100	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7306	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	110	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7307	高级绊足（降低移动速度）	14	STD_IMPACT_014	1	417	-1	23	120	-1	0	1	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	可否使用任何技能（CanAction2标记,-1为无效）	-1	0	可否移动（CanMove标记,-1为无效）	-1	0	无敌否（Unbreakable标记,-1为无效）	-1	0	移动速度修正%（0为无效）	-40	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
7308	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	11	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7309	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	21	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7310	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	31	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7311	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	41	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7312	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	51	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7313	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	61	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7314	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	71	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7315	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	81	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	81	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7316	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	91	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	91	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7317	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	101	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7318	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	111	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7319	解穴驱散封穴	18	StdImpact018	0	14	-1	-1	121	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	121	0	驱散个数	1	0	驱散集合1	40	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7320	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	11	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7321	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	21	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7322	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	31	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7323	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	41	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7324	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	51	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7325	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	61	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7326	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	71	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7327	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	81	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	81	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7328	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	91	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	91	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7329	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	101	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7330	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	111	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7331	清醒驱散昏睡	18	StdImpact018	0	14	-1	-1	121	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	121	0	驱散个数	1	0	驱散集合1	41	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7332	明目驱散失明	18	StdImpact018	0	14	-1	-1	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	11	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7333	明目驱散失明	18	StdImpact018	0	14	-1	-1	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	21	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7334	明目驱散失明	18	StdImpact018	0	14	-1	-1	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	31	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7335	明目驱散失明	18	StdImpact018	0	14	-1	-1	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	41	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7336	明目驱散失明	18	StdImpact018	0	14	-1	-1	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	51	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7337	明目驱散失明	18	StdImpact018	0	14	-1	-1	61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	61	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7338	明目驱散失明	18	StdImpact018	0	14	-1	-1	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	71	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7339	明目驱散失明	18	StdImpact018	0	14	-1	-1	81	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	81	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7340	明目驱散失明	18	StdImpact018	0	14	-1	-1	91	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	91	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7341	明目驱散失明	18	StdImpact018	0	14	-1	-1	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	101	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7342	明目驱散失明	18	StdImpact018	0	14	-1	-1	111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	111	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7343	明目驱散失明	18	StdImpact018	0	14	-1	-1	121	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	121	0	驱散个数	1	0	驱散集合1	42	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7344	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	11	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7345	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	21	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7346	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	31	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7347	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	41	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7348	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	51	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7349	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	61	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7350	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	71	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7351	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	81	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	81	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7352	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	91	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	91	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7353	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	101	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7354	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	111	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7355	轻灵驱散僵硬	18	StdImpact018	0	14	-1	-1	121	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	121	0	驱散个数	1	0	驱散集合1	45	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
7356	固元驱散散功	18	StdImpact018	0	14	-1	-1	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	11	0	驱散个数	1	0	驱散集合1	44	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
