INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
39993054	20301009	28	20301010	1	50000	39993145	1	_463	6
39993055	20301009	16	-1	-1	10000	39993056	0	_464	2
39993056	20301009	18	-1	-1	20000	39993057	1	_465	3
39993057	20301009	20	-1	-1	30000	39993058	1	_466	4
39993058	20301009	24	-1	-1	40000	39993059	1	_467	5
39993059	20301009	28	20301010	1	50000	39993146	1	_468	6
39993060	20301009	16	-1	-1	10000	39993061	0	_469	2
39993061	20301009	18	-1	-1	20000	39993062	1	_470	3
39993062	20301009	20	-1	-1	30000	39993063	1	_471	4
39993063	20301009	24	-1	-1	40000	39993064	1	_472	5
39993064	20301009	28	20301010	1	50000	39993147	1	_473	6
39993065	20301009	16	-1	-1	10000	39993066	0	_474	2
39993066	20301009	18	-1	-1	20000	39993067	1	_475	3
39993067	20301009	20	-1	-1	30000	39993068	1	_476	4
39993068	20301009	24	-1	-1	40000	39993069	1	_477	5
39993069	20301009	28	20301010	1	50000	39993148	1	_478	6
39993070	20301009	16	-1	-1	10000	39993071	0	_479	2
39993071	20301009	18	-1	-1	20000	39993072	1	_480	3
39993072	20301009	20	-1	-1	30000	39993073	1	_481	4
39993073	20301009	24	-1	-1	40000	39993074	1	_482	5
39993074	20301009	28	20301010	1	50000	39993149	1	_483	6
39993075	20301009	16	-1	-1	10000	39993076	0	_484	2
39993076	20301009	18	-1	-1	20000	39993077	1	_485	3
39993077	20301009	20	-1	-1	30000	39993078	1	_486	4
39993078	20301009	24	-1	-1	40000	39993079	1	_487	5
39993079	20301009	28	20301010	1	50000	39993150	1	_488	6
39993080	20301009	16	-1	-1	10000	39993081	0	_489	2
39993081	20301009	18	-1	-1	20000	39993082	1	_490	3
39993082	20301009	20	-1	-1	30000	39993083	1	_491	4
39993083	20301009	24	-1	-1	40000	39993084	1	_492	5
39993084	20301009	28	20301010	1	50000	39993151	1	_493	6
39993085	20301009	16	-1	-1	10000	39993086	0	_494	2
39993086	20301009	18	-1	-1	20000	39993087	1	_495	3
39993087	20301009	20	-1	-1	30000	39993088	1	_496	4
39993088	20301009	24	-1	-1	40000	39993089	1	_497	5
39993089	20301009	28	20301010	1	50000	39993152	1	_498	6
39993090	20301009	36	-1	-1	10000	39993091	0	_499	2
39993091	20301009	43	-1	-1	20000	39993092	1	_500	3
39993092	20301009	50	-1	-1	30000	39993093	1	_501	4
39993093	20301009	56	-1	-1	40000	39993094	1	_502	5
39993094	20301009	63	20301010	1	50000	39993153	1	_503	6
39993095	20301009	36	-1	-1	10000	39993096	0	_504	2
39993096	20301009	43	-1	-1	20000	39993097	1	_505	3
39993097	20301009	50	-1	-1	30000	39993098	1	_506	4
39993098	20301009	56	-1	-1	40000	39993099	1	_507	5
39993099	20301009	63	20301010	1	50000	39993154	1	_508	6
39993100	20301009	36	-1	-1	10000	39993101	0	_509	2
39993101	20301009	43	-1	-1	20000	39993102	1	_510	3
39993102	20301009	50	-1	-1	30000	39993103	1	_511	4
39993103	20301009	56	-1	-1	40000	39993104	1	_512	5
39993104	20301009	63	20301010	1	50000	39993155	1	_513	6
39993105	20301009	36	-1	-1	10000	39993106	0	_514	2
39993106	20301009	43	-1	-1	20000	39993107	1	_515	3
39993107	20301009	50	-1	-1	30000	39993108	1	_516	4
39993108	20301009	56	-1	-1	40000	39993109	1	_517	5
39993109	20301009	63	20301010	1	50000	39993156	1	_518	6
39993110	20301009	36	-1	-1	10000	39993111	0	_519	2
39993111	20301009	43	-1	-1	20000	39993112	1	_520	3
39993112	20301009	50	-1	-1	30000	39993113	1	_521	4
39993113	20301009	56	-1	-1	40000	39993114	1	_522	5
39993114	20301009	63	20301010	1	50000	39993157	1	_523	6
39993115	20301009	36	-1	-1	10000	39993116	0	_524	2
39993116	20301009	43	-1	-1	20000	39993117	1	_525	3
39993117	20301009	50	-1	-1	30000	39993118	1	_526	4
39993118	20301009	56	-1	-1	40000	39993119	1	_527	5
39993119	20301009	63	20301010	1	50000	39993158	1	_528	6
39993120	20301009	36	-1	-1	10000	39993121	0	_529	2
39993121	20301009	43	-1	-1	20000	39993122	1	_530	3
39993122	20301009	50	-1	-1	30000	39993123	1	_531	4
39993123	20301009	56	-1	-1	40000	39993124	1	_532	5
39993124	20301009	63	20301010	1	50000	39993159	1	_533	6
39993125	20301009	36	-1	-1	10000	39993126	0	_534	2
39993126	20301009	43	-1	-1	20000	39993127	1	_535	3
39993127	20301009	50	-1	-1	30000	39993128	1	_536	4
39993128	20301009	56	-1	-1	40000	39993129	1	_537	5
39993129	20301009	63	20301010	1	50000	39993160	1	_538	6
39993130	20301009	36	-1	-1	10000	39993131	0	_539	2
39993131	20301009	43	-1	-1	20000	39993132	1	_540	3
39993132	20301009	50	-1	-1	30000	39993133	1	_541	4
39993133	20301009	56	-1	-1	40000	39993134	1	_542	5
39993134	20301009	63	20301010	1	50000	39993161	1	_543	6
39993162	20301009	3	-1	-1	10000	39993031	0	_544	2
39994000	20301009	3	-1	-1	10000	39994001	0	_545	2
39994001	20301009	5	-1	-1	20000	39994002	1	_546	3
39994002	20301009	7	-1	-1	30000	39994003	1	_547	4
39994003	20301009	11	-1	-1	40000	39994004	1	_548	5
39994004	20301009	16	20301010	1	50000	39994135	1	_549	6
39994005	20301009	3	-1	-1	10000	39994006	0	_550	2
39994006	20301009	5	-1	-1	20000	39994007	1	_551	3
39994007	20301009	7	-1	-1	30000	39994008	1	_552	4
39994008	20301009	11	-1	-1	40000	39994009	1	_553	5
39994009	20301009	16	20301010	1	50000	39994136	1	_554	6
39994010	20301009	3	-1	-1	10000	39994011	0	_555	2
39994011	20301009	5	-1	-1	20000	39994012	1	_556	3
39994012	20301009	7	-1	-1	30000	39994013	1	_557	4
39994013	20301009	11	-1	-1	40000	39994014	1	_558	5
39994014	20301009	16	20301010	1	50000	39994137	1	_559	6
39994015	20301009	3	-1	-1	10000	39994016	0	_560	2
39994016	20301009	5	-1	-1	20000	39994017	1	_561	3
39994017	20301009	7	-1	-1	30000	39994018	1	_562	4
39994018	20301009	11	-1	-1	40000	39994019	1	_563	5
39994019	20301009	16	20301010	1	50000	39994138	1	_564	6
39994020	20301009	3	-1	-1	10000	39994021	0	_565	2
39994021	20301009	5	-1	-1	20000	39994022	1	_566	3
39994022	20301009	7	-1	-1	30000	39994023	1	_567	4
39994023	20301009	11	-1	-1	40000	39994024	1	_568	5
39994024	20301009	16	20301010	1	50000	39994139	1	_569	6
39994025	20301009	3	-1	-1	10000	39994026	0	_570	2
39994026	20301009	5	-1	-1	20000	39994027	1	_571	3
39994027	20301009	7	-1	-1	30000	39994028	1	_572	4
39994028	20301009	11	-1	-1	40000	39994029	1	_573	5
39994029	20301009	16	20301010	1	50000	39994140	1	_574	6
39994030	20301009	3	-1	-1	10000	39994031	0	_575	2
39994031	20301009	5	-1	-1	20000	39994032	1	_576	3
39994032	20301009	7	-1	-1	30000	39994033	1	_577	4
39994033	20301009	11	-1	-1	40000	39994034	1	_578	5
39994034	20301009	16	20301010	1	50000	39994141	1	_579	6
39994035	20301009	3	-1	-1	10000	39994036	0	_580	2
39994036	20301009	5	-1	-1	20000	39994037	1	_581	3
39994037	20301009	7	-1	-1	30000	39994038	1	_582	4
39994038	20301009	11	-1	-1	40000	39994039	1	_583	5
39994039	20301009	16	20301010	1	50000	39994142	1	_584	6
39994040	20301009	3	-1	-1	10000	39994041	0	_585	2
39994041	20301009	5	-1	-1	20000	39994042	1	_586	3
39994042	20301009	7	-1	-1	30000	39994043	1	_587	4
39994043	20301009	11	-1	-1	40000	39994044	1	_588	5
39994044	20301009	16	20301010	1	50000	39994143	1	_589	6
39994045	20301009	16	-1	-1	10000	39994046	0	_590	2
39994046	20301009	18	-1	-1	20000	39994047	1	_591	3
39994047	20301009	20	-1	-1	30000	39994048	1	_592	4
39994048	20301009	24	-1	-1	40000	39994049	1	_593	5
39994049	20301009	28	20301010	1	50000	39994144	1	_594	6
39994050	20301009	16	-1	-1	10000	39994051	0	_595	2
39994051	20301009	18	-1	-1	20000	39994052	1	_596	3
39994052	20301009	20	-1	-1	30000	39994053	1	_597	4
39994053	20301009	24	-1	-1	40000	39994054	1	_598	5
39994054	20301009	28	20301010	1	50000	39994145	1	_599	6
39994055	20301009	16	-1	-1	10000	39994056	0	_600	2
39994056	20301009	18	-1	-1	20000	39994057	1	_601	3
39994057	20301009	20	-1	-1	30000	39994058	1	_602	4
39994058	20301009	24	-1	-1	40000	39994059	1	_603	5
39994059	20301009	28	20301010	1	50000	39994146	1	_604	6
39994060	20301009	16	-1	-1	10000	39994061	0	_605	2
39994061	20301009	18	-1	-1	20000	39994062	1	_606	3
39994062	20301009	20	-1	-1	30000	39994063	1	_607	4
39994063	20301009	24	-1	-1	40000	39994064	1	_608	5
39994064	20301009	28	20301010	1	50000	39994147	1	_609	6
39994065	20301009	16	-1	-1	10000	39994066	0	_610	2
39994066	20301009	18	-1	-1	20000	39994067	1	_611	3
39994067	20301009	20	-1	-1	30000	39994068	1	_612	4
39994068	20301009	24	-1	-1	40000	39994069	1	_613	5
39994069	20301009	28	20301010	1	50000	39994148	1	_614	6
39994070	20301009	16	-1	-1	10000	39994071	0	_615	2
39994071	20301009	18	-1	-1	20000	39994072	1	_616	3
39994072	20301009	20	-1	-1	30000	39994073	1	_617	4
39994073	20301009	24	-1	-1	40000	39994074	1	_618	5
39994074	20301009	28	20301010	1	50000	39994149	1	_619	6
39994075	20301009	16	-1	-1	10000	39994076	0	_620	2
39994076	20301009	18	-1	-1	20000	39994077	1	_621	3
39994077	20301009	20	-1	-1	30000	39994078	1	_622	4
39994078	20301009	24	-1	-1	40000	39994079	1	_623	5
39994079	20301009	28	20301010	1	50000	39994150	1	_624	6
39994080	20301009	16	-1	-1	10000	39994081	0	_625	2
39994081	20301009	18	-1	-1	20000	39994082	1	_626	3
39994082	20301009	20	-1	-1	30000	39994083	1	_627	4
39994083	20301009	24	-1	-1	40000	39994084	1	_628	5
39994084	20301009	28	20301010	1	50000	39994151	1	_629	6
39994085	20301009	16	-1	-1	10000	39994086	0	_630	2
39994086	20301009	18	-1	-1	20000	39994087	1	_631	3
39994087	20301009	20	-1	-1	30000	39994088	1	_632	4
39994088	20301009	24	-1	-1	40000	39994089	1	_633	5
39994089	20301009	28	20301010	1	50000	39994152	1	_634	6
39994090	20301009	36	-1	-1	10000	39994091	0	_635	2
39994091	20301009	43	-1	-1	20000	39994092	1	_636	3
39994092	20301009	50	-1	-1	30000	39994093	1	_637	4
39994093	20301009	56	-1	-1	40000	39994094	1	_638	5
39994094	20301009	63	20301010	1	50000	39994153	1	_639	6
39994095	20301009	36	-1	-1	10000	39994096	0	_640	2
39994096	20301009	43	-1	-1	20000	39994097	1	_641	3
39994097	20301009	50	-1	-1	30000	39994098	1	_642	4
39994098	20301009	56	-1	-1	40000	39994099	1	_643	5
39994099	20301009	63	20301010	1	50000	39994154	1	_644	6
39994100	20301009	36	-1	-1	10000	39994101	0	_645	2
39994101	20301009	43	-1	-1	20000	39994102	1	_646	3
39994102	20301009	50	-1	-1	30000	39994103	1	_647	4
39994103	20301009	56	-1	-1	40000	39994104	1	_648	5
39994104	20301009	63	20301010	1	50000	39994155	1	_649	6
39994105	20301009	36	-1	-1	10000	39994106	0	_650	2
39994106	20301009	43	-1	-1	20000	39994107	1	_651	3
39994107	20301009	50	-1	-1	30000	39994108	1	_652	4
39994108	20301009	56	-1	-1	40000	39994109	1	_653	5
39994109	20301009	63	20301010	1	50000	39994156	1	_654	6
39994110	20301009	36	-1	-1	10000	39994111	0	_655	2
39994111	20301009	43	-1	-1	20000	39994112	1	_656	3
39994112	20301009	50	-1	-1	30000	39994113	1	_657	4
39994113	20301009	56	-1	-1	40000	39994114	1	_658	5
39994114	20301009	63	20301010	1	50000	39994157	1	_659	6
39994115	20301009	36	-1	-1	10000	39994116	0	_660	2
39994116	20301009	43	-1	-1	20000	39994117	1	_661	3
39994117	20301009	50	-1	-1	30000	39994118	1	_662	4
39994118	20301009	56	-1	-1	40000	39994119	1	_663	5
39994119	20301009	63	20301010	1	50000	39994158	1	_664	6
39994120	20301009	36	-1	-1	10000	39994121	0	_665	2
39994121	20301009	43	-1	-1	20000	39994122	1	_666	3
39994122	20301009	50	-1	-1	30000	39994123	1	_667	4
39994123	20301009	56	-1	-1	40000	39994124	1	_668	5
39994124	20301009	63	20301010	1	50000	39994159	1	_669	6
39994125	20301009	36	-1	-1	10000	39994126	0	_670	2
39994126	20301009	43	-1	-1	20000	39994127	1	_671	3
39994127	20301009	50	-1	-1	30000	39994128	1	_672	4
39994128	20301009	56	-1	-1	40000	39994129	1	_673	5
39994129	20301009	63	20301010	1	50000	39994160	1	_674	6
39994130	20301009	36	-1	-1	10000	39994131	0	_675	2
39994131	20301009	43	-1	-1	20000	39994132	1	_676	3
39994132	20301009	50	-1	-1	30000	39994133	1	_677	4
39994133	20301009	56	-1	-1	40000	39994134	1	_678	5
39994134	20301009	63	20301010	1	50000	39994161	1	_679	6
39994162	20301009	3	-1	-1	10000	39994031	0	_680	2
