INT	INT	INT	STRING	STRING	FLOAT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT
240	0	0	g01_TM_一叶障目_子弹		15	g01_TM_一叶障目_受击	Skills\Tm\Skill_TangMen_KongQueL_HitTarget.wav	身体受击点	0	0	-1	-1	一叶障目	1
241	0	0	g01_TM_天女散花_子弹_01		15	g01_TM_天女散花_受击_02	Skills\Tm\Skill_TangMen_TianNvSH_HitTarget.wav	身体受击点	0	0	-1	-1	天女散花	1
242	0	0	g01_TM_孔雀翎_子弹		15	g01_TM_孔雀翎_受击	Skills\Tm\Skill_TangMen_KongQueL_HitTarget.wav	身体受击点	0	0	-1	-1	孔雀翎	1
243	0	0	g01_TM_落日追星_子弹		15	g01_TM_落日追星_受击	Skills\Tm\Skill_TangMen_LuoRiZhX_HitTarget.wav	身体受击点	0	0	-1	-1	落日追星	1
244	0	0	g01_TM_六合禁域_子弹		15	g01_TM_六合禁域_受击	Skills\Tm\Skill_TangMen_LiuHeJY_HitTarget.wav	身体受击点	0	0	-1	-1	六合禁域	1
245	0	0	m01_TM_流云矢_进阶_子弹_01		15	m01_TM_流云矢_进阶_受击		身体受击点	0	0	-1	-1	流云矢进阶	1
246	0	0	g01_TM_暴雨梨花针_进阶_子弹		15	g01_TM_暴雨梨花针_进阶_被击_01		身体受击点	0	0	-1	-1	暴雨梨花针进阶	1
247	0	0	g01_TM_一叶障目_进阶_子弹		15	g01_TM_一叶障目_进阶_受击	Skills\Tm\Skill_TangMen_KongQueL_HitTarget.wav	身体受击点	0	0	-1	-1	一叶障目进阶	1
248	0	0			15	m01_TM_万箭齐发_进阶_受击		身体受击点	0	0	-1	-1	万箭齐发进阶	1
249	0	0			15	m01_TM_九天揽月_进阶_受击_01		身体受击点	0	0	-1	-1	九天揽月进阶	1
250	0	0	boss_饕餮_普通攻击_子弹_01		15	boss_饕餮_普通攻击_子弹_受击_01		身体受击点	0	0	-1	-1	饕餮	1
251	0	0	boss怪_陆吾_冰火交织_子弹_火		15	buff_武魂_子弹红色_zdo		身体受击点	0	0	-1	-1	陆吾	1
252	0	0	boss怪_陆吾_冰火交织_子弹_冰		15	buff_武魂_子弹银白_zdo		身体受击点	0	0	-1	-1	陆吾	1
253	0	0	夫妻特效_子弹_三级		8	夫妻特效_受击_三级		身体受击点	0	0	-1	-1	结婚特效1	1
254	0	0	夫妻特效_子弹_四级		8	夫妻特效_受击_四级		身体受击点	0	0	-1	-1	结婚特效2	1
255	0	0	夫妻特效_子弹_五级		8	夫妻特效_受击_五级		身体受击点	0	0	-1	-1	结婚特效3	1
256	0	0	夫妻特效_子弹_六级		8	夫妻特效_受击_六级		身体受击点	0	0	-1	-1	结婚特效4	1
257	0	0	m01_暗器连击_子弹_冰		15	m01_暗器连击_受击_冰	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	0	0	-1	-1	冰	1
258	0	0	m01_暗器连击_子弹_火		15	m01_暗器连击_受击_火	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	0	0	-1	-1	火	1
259	0	0	m01_暗器连击_子弹_玄		15	m01_暗器连击_受击_玄	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	0	0	-1	-1	玄	1
260	0	0	m01_暗器连击_子弹_毒		15	m01_暗器连击_受击_毒	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	0	0	-1	-1	毒	1
261	0	0	m01_暗器连击_子弹_穿		15	m01_暗器连击_受击_穿	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	0	0	-1	-1	穿刺	1
262	0	0	boss_天山童姥（孩童）_寒冰符_子弹		12	g01_dl_天龙80级技能_被击01	Skills\Dl\天龙中冲_受击.wav	身体受击点	0	0	-1	-1	寒冰符	1
263	0	0	boss_天山童姥（孩童）_天火符_子弹		12	g01_dl_天龙80级技能_被击01	Skills\Dl\天龙中冲_受击.wav	身体受击点	0	0	-1	-1	天火符	1
264	0	0	boss_守门人_子弹		15	boss_守门人_子弹受击		身体受击点	0	0	-1	-1	李秋水普通攻击	1
265	0	0	g01_TM_流云矢_子弹		15	g01_TM_流云矢_受击		身体受击点	0	0	-1	-1	天山童姥普通攻击	1
266	0	0	g01_TM_流云矢_子弹		15	g01_TM_流云矢_受击		身体受击点	0	0	-1	-1	天山童姥普通攻击	1
267	0	0	m01_gg_乾坤引_子弹		15	m01_gg_乾坤引_受击		身体受击点	0	0	-1	-1	乾坤引	1
268	2	0			15	m01_gg_太上忘情_范围		身体受击点	0	0	-1	-1	太上忘情	1
269	0	0	m01_gg_荧惑守心_子弹		15	m01_gg_荧惑守心_攻击_01		身体受击点	0	0	-1	-1	荧惑守心	1
270	0	0	m01_石破天惊_子弹_gg		15	m01_石破天惊_被击_gg		身体受击点	0	0	-1	-1	万宿辰光	1
271	0	0	m01_捆仙索_子弹gg		15	m01_捆仙索_被击gg		身体受击点	0	0	-1	-1	步罡踏斗	1
272	0	0	m01_gg_风云反覆_子弹		15			身体受击点	0	0	-1	-1	风云反覆	1
273	0	0	m01_gg_陶然一醉_子弹		15	m01_gg_陶然一醉_受击		身体受击点	0	0	-1	-1	陶然一醉	1
274	0	0	m01_gg_未老先衰_子弹		15	m01_gg_未老先衰_01		身体受击点	0	0	-1	-1	未老先衰	1
275	0	0	m01_gg_乾坤引_进阶_子弹		15	m01_gg_乾坤引_受击		身体受击点	0	0	-1	-1	乾坤引进阶	1
276	2	0			15	m01_gg_太上忘情_进阶_范围		身体受击点	0	0	-1	-1	太上忘情进阶	1
277	0	0			15	m01_gg_一气三清_进阶_受击	Skills\Tm\Skill_TangMen_KongQueL_HitTarget.wav	身体受击点	0	0	-1	-1	一气三清进阶	1
278	0	0	m01_gg_陶然一醉_进阶_子弹		15	m01_gg_陶然一醉_进阶_受击		身体受击点	0	0	-1	-1	陶然一醉进阶	1
279	0	0	m01_gg_风云反覆_进阶_子弹		15	m01_gg_风云反覆_进阶_受击		身体受击点	0	0	-1	-1	风云反覆进阶	1
280	0	0	buff_九星技能翅膀_攻击_子弹		15	buff_九星技能翅膀_攻击_受击		身体受击点	0	0	-1	-1	九星神器技能大翅膀	1
281	0	0	m01_thd_zd_连招		10	m01_thd_远程连招受击	Skills\Thd\Skill_THD_YaSongZhiYin_Male_Explosion.wav	身体受击点	0	0	-1	-1	雅颂之音	1
282	0	0	m01_gg_风云反覆_子弹		15			身体受击点	0	0	-1	-1	人之可诛	1
283	2	0			15	m01_thd_吾心即理_01	Skills\Thd\Skill_THD_QuZhiQuGu.wav	身体受击点	0	0	-1	-1	去智去故	0
284	0	0	m01_thd_碎玉削金zd		15	m01_thd_怨复怨兮傀儡受击		身体受击点	0	0	-1	-1	高唐云散（傀儡备用）	1
285	0	0	m01_gg_未老先衰_子弹		15	m01_gg_未老先衰_01		身体受击点	0	0	-1	-1	日月之明	1
286	0	0	m01_thd_问地何极_子弹		15			身体受击点	0	0	-1	-1	罪人不怨	1
287	0	0	m01_gg_陶然一醉_子弹		15	m01_gg_陶然一醉_受击		身体受击点	0	0	-1	-1	六合同风	1
288	0	0	m01_thd_碎玉削金zd		15	m01_thd_碎玉削金受击		身体受击点	0	0	-1	-1	良夜游 	1
289	0	0	m01_捆仙索_子弹gg		15	m01_捆仙索_被击gg		身体受击点	0	0	-1	-1	潮生云灭 	1
290	0	0	m01_gg_乾坤引_进阶_子弹		15	m01_gg_乾坤引_受击		身体受击点	0	0	-1	-1	雅颂之音进阶	1
291	0	0	m01_gg_风云反覆_进阶_子弹		15	m01_gg_风云反覆_进阶_受击		身体受击点	0	0	-1	-1	人之可诛进阶	1
292	2	0			15	m01_thd_吾心即理_进阶	Skills\Thd\Skill_THD_QuZhiQuGu.wav	身体受击点	0	0	-1	-1	去智去故进阶	0
293	0	0	m01_gg_风云反覆_进阶_子弹		15	m01_gg_风云反覆_进阶_受击		身体受击点	0	0	-1	-1	罪人不怨进阶	1
