INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
7792	±‰“Ï–‹√®	779	45	9	1	0	100	10	690	350000	-1	-1	658	900000	718	300000	728	150000	668	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	939	1644	822	704	939	948	1042	1090	1232	1422	100	200	500	150	50	1	7790
7793	±‰“Ï–‹√®	779	45	9	1	0	100	10	690	350000	-1	-1	658	900000	718	300000	728	150000	668	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1018	1781	890	763	1018	948	1042	1090	1232	1422	100	200	500	150	50	1	7790
7799	–‹√®±¶±¶	779	45	9	0	1	100	10	690	350000	-1	-1	658	900000	718	300000	728	150000	668	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	783	1370	685	587	783	948	1042	1090	1232	1422	100	200	500	150	50	1	7790
7800	≥…ƒÍ–‹√®	780	55	9	0	0	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	816	1428	714	612	816	1051	1156	1208	1366	1576	100	200	500	150	50	1	7800
7801	±‰“Ï–‹√®	780	55	9	1	0	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	877	1535	767	657	877	1051	1156	1208	1366	1576	100	200	500	150	50	1	7800
7802	±‰“Ï–‹√®	780	55	9	1	0	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	938	1642	821	703	938	1051	1156	1208	1366	1576	100	200	500	150	50	1	7800
7803	±‰“Ï–‹√®	780	55	9	1	0	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	999	1749	874	749	999	1051	1156	1208	1366	1576	100	200	500	150	50	1	7800
7804	±‰“Ï–‹√®	780	55	9	1	0	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1060	1856	928	795	1060	1051	1156	1208	1366	1576	100	200	500	150	50	1	7800
7809	–‹√®±¶±¶	780	55	9	0	1	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	816	1428	714	612	816	1051	1156	1208	1366	1576	100	200	500	150	50	1	7800
7810	≥…ƒÍ–‹√®	781	65	9	0	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	848	1485	742	636	848	1153	1268	1325	1498	1729	100	200	500	150	50	1	7810
7811	±‰“Ï–‹√®	781	65	9	1	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	899	1574	787	674	899	1153	1268	1325	1498	1729	100	200	500	150	50	1	7810
7812	±‰“Ï–‹√®	781	65	9	1	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	950	1663	831	712	950	1153	1268	1325	1498	1729	100	200	500	150	50	1	7810
7813	±‰“Ï–‹√®	781	65	9	1	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1001	1752	876	751	1001	1153	1268	1325	1498	1729	100	200	500	150	50	1	7810
7814	±‰“Ï–‹√®	781	65	9	1	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1052	1841	920	789	1052	1153	1268	1325	1498	1729	100	200	500	150	50	1	7810
7815	±‰“Ï–‹√®	781	65	9	1	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1103	1931	965	827	1103	1153	1268	1325	1498	1729	100	200	500	150	50	1	7810
7819	–‹√®±¶±¶	781	65	9	0	1	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	848	1485	742	636	848	1153	1268	1325	1498	1729	100	200	500	150	50	1	7810
7820	≥…ƒÍ–‹√®	782	75	9	0	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	881	1542	771	661	881	1255	1380	1443	1631	1882	100	200	500	150	50	1	7820
7821	±‰“Ï–‹√®	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	925	1619	809	694	925	1255	1380	1443	1631	1882	100	200	500	150	50	1	7820
7822	±‰“Ï–‹√®	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	969	1697	848	727	969	1255	1380	1443	1631	1882	100	200	500	150	50	1	7820
7823	±‰“Ï–‹√®	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1013	1774	887	760	1013	1255	1380	1443	1631	1882	100	200	500	150	50	1	7820
7824	±‰“Ï–‹√®	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1057	1851	925	793	1057	1255	1380	1443	1631	1882	100	200	500	150	50	1	7820
7825	±‰“Ï–‹√®	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1102	1928	964	826	1102	1255	1380	1443	1631	1882	100	200	500	150	50	1	7820
7826	±‰“Ï–‹√®	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1146	2005	1002	859	1146	1255	1380	1443	1631	1882	100	200	500	150	50	1	7820
7829	–‹√®±¶±¶	782	75	9	0	1	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	881	1542	771	661	881	1255	1380	1443	1631	1882	100	200	500	150	50	1	7820
7830	≥…ƒÍ–‹√®	783	85	9	0	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	913	1598	799	685	913	1357	1492	1560	1764	2035	100	200	500	150	50	1	7830
7831	±‰“Ï–‹√®	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	952	1667	833	714	952	1357	1492	1560	1764	2035	100	200	500	150	50	1	7830
7832	±‰“Ï–‹√®	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	991	1735	867	743	991	1357	1492	1560	1764	2035	100	200	500	150	50	1	7830
7833	±‰“Ï–‹√®	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1031	1804	902	773	1031	1357	1492	1560	1764	2035	100	200	500	150	50	1	7830
7834	±‰“Ï–‹√®	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1070	1872	936	802	1070	1357	1492	1560	1764	2035	100	200	500	150	50	1	7830
7835	±‰“Ï–‹√®	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1109	1941	970	832	1109	1357	1492	1560	1764	2035	100	200	500	150	50	1	7830
7836	±‰“Ï–‹√®	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1148	2009	1004	861	1148	1357	1492	1560	1764	2035	100	200	500	150	50	1	7830
7837	±‰“Ï–‹√®	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1187	2078	1039	890	1187	1357	1492	1560	1764	2035	100	200	500	150	50	1	7830
7839	–‹√®±¶±¶	783	85	9	0	1	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	913	1598	799	685	913	1357	1492	1560	1764	2035	100	200	500	150	50	1	7830
7840	≥…ƒÍ–‹√®	784	95	9	0	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	946	1656	828	709	946	1459	1604	1677	1896	2388	100	200	500	150	50	1	7840
7841	±‰“Ï–‹√®	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	981	1718	859	736	981	1459	1604	1677	1896	2388	100	200	500	150	50	1	7840
7842	±‰“Ï–‹√®	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1017	1780	890	763	1017	1459	1604	1677	1896	2388	100	200	500	150	50	1	7840
7843	±‰“Ï–‹√®	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1052	1842	921	789	1052	1459	1604	1677	1896	2388	100	200	500	150	50	1	7840
7844	±‰“Ï–‹√®	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1088	1904	952	816	1088	1459	1604	1677	1896	2388	100	200	500	150	50	1	7840
7845	±‰“Ï–‹√®	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1123	1966	983	842	1123	1459	1604	1677	1896	2388	100	200	500	150	50	1	7840
7846	±‰“Ï–‹√®	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1159	2028	1014	869	1159	1459	1604	1677	1896	2388	100	200	500	150	50	1	7840
7847	±‰“Ï–‹√®	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1194	2090	1045	896	1194	1459	1604	1677	1896	2388	100	200	500	150	50	1	7840
7848	±‰“Ï–‹√®	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1230	2153	1076	922	1230	1459	1604	1677	1896	2388	100	200	500	150	50	1	7840
7849	–‹√®±¶±¶	784	95	9	0	1	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	946	1656	828	709	946	1459	1604	1677	1896	2388	100	200	500	150	50	1	7840
7850	≥…ƒÍÛ¶–∑	785	5	9	0	0	10	10	684	300000	-1	-1	726	900000	661	250000	702	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	200	150	50	100	500	1	7850
7851	±‰“ÏÛ¶–∑	785	5	9	1	0	10	10	684	300000	-1	-1	726	900000	661	250000	702	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1402	1186	755	970	755	846	930	972	1099	1269	200	150	50	100	500	1	7850
7852	±‰“ÏÛ¶–∑	785	5	9	1	0	10	10	684	300000	-1	-1	726	900000	661	250000	702	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1585	1341	853	1097	853	846	930	972	1099	1269	200	150	50	100	500	1	7850
7859	Û¶–∑±¶±¶	785	5	9	0	1	10	10	684	300000	-1	-1	726	900000	661	250000	702	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	200	150	50	100	500	1	7850
7860	≥…ƒÍÛ¶–∑	786	45	9	0	0	10	10	684	350000	-1	-1	726	900000	661	300000	702	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	200	150	50	100	500	1	7860
7861	±‰“ÏÛ¶–∑	786	45	9	1	0	10	10	684	350000	-1	-1	726	900000	661	300000	702	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	200	150	50	100	500	1	7860
7862	±‰“ÏÛ¶–∑	786	45	9	1	0	10	10	684	350000	-1	-1	726	900000	661	300000	702	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	200	150	50	100	500	1	7860
7863	±‰“ÏÛ¶–∑	786	45	9	1	0	10	10	684	350000	-1	-1	726	900000	661	300000	702	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	200	150	50	100	500	1	7860
7869	Û¶–∑±¶±¶	786	45	9	0	1	10	10	684	350000	-1	-1	726	900000	661	300000	702	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	200	150	50	100	500	1	7860
7870	≥…ƒÍÛ¶–∑	787	55	9	0	0	10	10	684	400000	-1	-1	726	900000	661	350000	702	200000	662	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1326	1122	714	918	714	1051	1156	1208	1366	1576	200	150	50	100	500	1	7870
7871	±‰“ÏÛ¶–∑	787	55	9	1	0	10	10	684	400000	-1	-1	726	900000	661	350000	702	200000	662	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1425	1206	767	986	767	1051	1156	1208	1366	1576	200	150	50	100	500	1	7870
7872	±‰“ÏÛ¶–∑	787	55	9	1	0	10	10	684	400000	-1	-1	726	900000	661	350000	702	200000	662	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1524	1290	821	1055	821	1051	1156	1208	1366	1576	200	150	50	100	500	1	7870
7873	±‰“ÏÛ¶–∑	787	55	9	1	0	10	10	684	400000	-1	-1	726	900000	661	350000	702	200000	662	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1624	1374	874	1124	874	1051	1156	1208	1366	1576	200	150	50	100	500	1	7870
7874	±‰“ÏÛ¶–∑	787	55	9	1	0	10	10	684	400000	-1	-1	726	900000	661	350000	702	200000	662	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1723	1458	928	1193	928	1051	1156	1208	1366	1576	200	150	50	100	500	1	7870
7879	Û¶–∑±¶±¶	787	55	9	0	1	10	10	684	400000	-1	-1	726	900000	661	350000	702	200000	662	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1326	1122	714	918	714	1051	1156	1208	1366	1576	200	150	50	100	500	1	7870
7880	≥…ƒÍÛ¶–∑	788	65	9	0	0	10	10	684	450000	-1	-1	726	900000	661	400000	702	250000	662	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1379	1167	742	954	742	1153	1268	1325	1498	1729	200	150	50	100	500	1	7880
7881	±‰“ÏÛ¶–∑	788	65	9	1	0	10	10	684	450000	-1	-1	726	900000	661	400000	702	250000	662	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1462	1237	787	1012	787	1153	1268	1325	1498	1729	200	150	50	100	500	1	7880
7882	±‰“ÏÛ¶–∑	788	65	9	1	0	10	10	684	450000	-1	-1	726	900000	661	400000	702	250000	662	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1544	1307	831	1069	831	1153	1268	1325	1498	1729	200	150	50	100	500	1	7880
7883	±‰“ÏÛ¶–∑	788	65	9	1	0	10	10	684	450000	-1	-1	726	900000	661	400000	702	250000	662	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1627	1377	876	1126	876	1153	1268	1325	1498	1729	200	150	50	100	500	1	7880
7884	±‰“ÏÛ¶–∑	788	65	9	1	0	10	10	684	450000	-1	-1	726	900000	661	400000	702	250000	662	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1710	1447	920	1184	920	1153	1268	1325	1498	1729	200	150	50	100	500	1	7880
7885	±‰“ÏÛ¶–∑	788	65	9	1	0	10	10	684	450000	-1	-1	726	900000	661	400000	702	250000	662	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1793	1517	965	1241	965	1153	1268	1325	1498	1729	200	150	50	100	500	1	7880
7889	Û¶–∑±¶±¶	788	65	9	0	1	10	10	684	450000	-1	-1	726	900000	661	400000	702	250000	662	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1379	1167	742	954	742	1153	1268	1325	1498	1729	200	150	50	100	500	1	7880
7890	≥…ƒÍÛ¶–∑	789	75	9	0	0	10	10	684	500000	-1	-1	726	900000	661	450000	702	300000	662	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1432	1212	771	991	771	1255	1380	1443	1631	1882	200	150	50	100	500	1	7890
7891	±‰“ÏÛ¶–∑	789	75	9	1	0	10	10	684	500000	-1	-1	726	900000	661	450000	702	300000	662	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1504	1272	809	1041	809	1255	1380	1443	1631	1882	200	150	50	100	500	1	7890
7892	±‰“ÏÛ¶–∑	789	75	9	1	0	10	10	684	500000	-1	-1	726	900000	661	450000	702	300000	662	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1575	1333	848	1090	848	1255	1380	1443	1631	1882	200	150	50	100	500	1	7890
7893	±‰“ÏÛ¶–∑	789	75	9	1	0	10	10	684	500000	-1	-1	726	900000	661	450000	702	300000	662	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1647	1394	887	1140	887	1255	1380	1443	1631	1882	200	150	50	100	500	1	7890
7894	±‰“ÏÛ¶–∑	789	75	9	1	0	10	10	684	500000	-1	-1	726	900000	661	450000	702	300000	662	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1719	1454	925	1190	925	1255	1380	1443	1631	1882	200	150	50	100	500	1	7890
7895	±‰“ÏÛ¶–∑	789	75	9	1	0	10	10	684	500000	-1	-1	726	900000	661	450000	702	300000	662	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1790	1515	964	1239	964	1255	1380	1443	1631	1882	200	150	50	100	500	1	7890
7896	±‰“ÏÛ¶–∑	789	75	9	1	0	10	10	684	500000	-1	-1	726	900000	661	450000	702	300000	662	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1862	1575	1002	1289	1002	1255	1380	1443	1631	1882	200	150	50	100	500	1	7890
7899	Û¶–∑±¶±¶	789	75	9	0	1	10	10	684	500000	-1	-1	726	900000	661	450000	702	300000	662	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1432	1212	771	991	771	1255	1380	1443	1631	1882	200	150	50	100	500	1	7890
7900	≥…ƒÍÛ¶–∑	790	85	9	0	0	10	10	684	550000	-1	-1	726	900000	661	500000	702	350000	662	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1484	1256	799	1027	799	1357	1492	1560	1764	2035	200	150	50	100	500	1	7900
7901	±‰“ÏÛ¶–∑	790	85	9	1	0	10	10	684	550000	-1	-1	726	900000	661	500000	702	350000	662	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1548	1310	833	1071	833	1357	1492	1560	1764	2035	200	150	50	100	500	1	7900
7902	±‰“ÏÛ¶–∑	790	85	9	1	0	10	10	684	550000	-1	-1	726	900000	661	500000	702	350000	662	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1611	1363	867	1115	867	1357	1492	1560	1764	2035	200	150	50	100	500	1	7900
7903	±‰“ÏÛ¶–∑	790	85	9	1	0	10	10	684	550000	-1	-1	726	900000	661	500000	702	350000	662	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1675	1417	902	1159	902	1357	1492	1560	1764	2035	200	150	50	100	500	1	7900
7904	±‰“ÏÛ¶–∑	790	85	9	1	0	10	10	684	550000	-1	-1	726	900000	661	500000	702	350000	662	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1739	1471	936	1203	936	1357	1492	1560	1764	2035	200	150	50	100	500	1	7900
7905	±‰“ÏÛ¶–∑	790	85	9	1	0	10	10	684	550000	-1	-1	726	900000	661	500000	702	350000	662	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1802	1525	970	1248	970	1357	1492	1560	1764	2035	200	150	50	100	500	1	7900
7906	±‰“ÏÛ¶–∑	790	85	9	1	0	10	10	684	550000	-1	-1	726	900000	661	500000	702	350000	662	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1866	1579	1004	1292	1004	1357	1492	1560	1764	2035	200	150	50	100	500	1	7900
7907	±‰“ÏÛ¶–∑	790	85	9	1	0	10	10	684	550000	-1	-1	726	900000	661	500000	702	350000	662	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1929	1633	1039	1336	1039	1357	1492	1560	1764	2035	200	150	50	100	500	1	7900
7909	Û¶–∑±¶±¶	790	85	9	0	1	10	10	684	550000	-1	-1	726	900000	661	500000	702	350000	662	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1484	1256	799	1027	799	1357	1492	1560	1764	2035	200	150	50	100	500	1	7900
7910	≥…ƒÍÛ¶–∑	791	95	9	0	0	10	10	684	600000	-1	-1	726	900000	661	550000	702	400000	662	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1537	1301	828	1064	828	1459	1604	1677	1896	2388	200	150	50	100	500	1	7910
7911	±‰“ÏÛ¶–∑	791	95	9	1	0	10	10	684	600000	-1	-1	726	900000	661	550000	702	400000	662	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1595	1350	859	1104	859	1459	1604	1677	1896	2388	200	150	50	100	500	1	7910
7912	±‰“ÏÛ¶–∑	791	95	9	1	0	10	10	684	600000	-1	-1	726	900000	661	550000	702	400000	662	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1653	1398	890	1144	890	1459	1604	1677	1896	2388	200	150	50	100	500	1	7910
7913	±‰“ÏÛ¶–∑	791	95	9	1	0	10	10	684	600000	-1	-1	726	900000	661	550000	702	400000	662	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1710	1447	921	1184	921	1459	1604	1677	1896	2388	200	150	50	100	500	1	7910
7914	±‰“ÏÛ¶–∑	791	95	9	1	0	10	10	684	600000	-1	-1	726	900000	661	550000	702	400000	662	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1768	1496	952	1224	952	1459	1604	1677	1896	2388	200	150	50	100	500	1	7910
7915	±‰“ÏÛ¶–∑	791	95	9	1	0	10	10	684	600000	-1	-1	726	900000	661	550000	702	400000	662	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1826	1545	983	1264	983	1459	1604	1677	1896	2388	200	150	50	100	500	1	7910
7916	±‰“ÏÛ¶–∑	791	95	9	1	0	10	10	684	600000	-1	-1	726	900000	661	550000	702	400000	662	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1883	1594	1014	1304	1014	1459	1604	1677	1896	2388	200	150	50	100	500	1	7910
7917	±‰“ÏÛ¶–∑	791	95	9	1	0	10	10	684	600000	-1	-1	726	900000	661	550000	702	400000	662	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1941	1642	1045	1344	1045	1459	1604	1677	1896	2388	200	150	50	100	500	1	7910
7918	±‰“ÏÛ¶–∑	791	95	9	1	0	10	10	684	600000	-1	-1	726	900000	661	550000	702	400000	662	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1999	1691	1076	1384	1076	1459	1604	1677	1896	2388	200	150	50	100	500	1	7910
7919	Û¶–∑±¶±¶	791	95	9	0	1	10	10	684	600000	-1	-1	726	900000	661	550000	702	400000	662	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1537	1301	828	1064	828	1459	1604	1677	1896	2388	200	150	50	100	500	1	7910
7920	≥…ƒÍ∫˚µ˚	792	5	9	0	0	100	10	700	300000	-1	-1	704	900000	712	250000	660	100000	664	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	656	750	1219	750	1031	846	930	972	1099	1269	500	200	150	100	50	1	7920
7921	±‰“Ï∫˚µ˚	792	5	9	1	0	100	10	700	300000	-1	-1	704	900000	712	250000	660	100000	664	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	755	862	1402	862	1186	846	930	972	1099	1269	500	200	150	100	50	1	7920
7922	±‰“Ï∫˚µ˚	792	5	9	1	0	100	10	700	300000	-1	-1	704	900000	712	250000	660	100000	664	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	853	975	1585	975	1341	846	930	972	1099	1269	500	200	150	100	50	1	7920
7929	∫˚µ˚±¶±¶	792	5	9	0	1	100	10	700	300000	-1	-1	704	900000	712	250000	660	100000	664	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	656	750	1219	750	1031	846	930	972	1099	1269	500	200	150	100	50	1	7920
