INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
39993063	-1	-1	-1	-1	593	63	4	42	100
39993064	-1	-1	-1	-1	593	64	5	57	100
39993065	-1	-1	-1	-1	593	65	1	20	100
39993066	-1	-1	-1	-1	593	66	2	30	100
39993067	-1	-1	-1	-1	593	67	3	35	100
39993068	-1	-1	-1	-1	593	68	4	42	100
39993069	-1	-1	-1	-1	593	69	5	57	100
39993070	-1	-1	-1	-1	593	70	1	20	100
39993071	-1	-1	-1	-1	593	71	2	30	100
39993072	-1	-1	-1	-1	593	72	3	35	100
39993073	-1	-1	-1	-1	593	73	4	42	100
39993074	-1	-1	-1	-1	593	74	5	57	100
39993075	-1	-1	-1	-1	593	75	1	20	100
39993076	-1	-1	-1	-1	593	76	2	30	100
39993077	-1	-1	-1	-1	593	77	3	35	100
39993078	-1	-1	-1	-1	593	78	4	42	100
39993079	-1	-1	-1	-1	593	79	5	57	100
39993080	-1	-1	-1	-1	593	80	1	20	100
39993081	-1	-1	-1	-1	593	81	2	30	100
39993082	-1	-1	-1	-1	593	82	3	35	100
39993083	-1	-1	-1	-1	593	83	4	42	100
39993084	-1	-1	-1	-1	593	84	5	57	100
39993085	-1	-1	-1	-1	593	85	1	20	100
39993086	-1	-1	-1	-1	593	86	2	30	100
39993087	-1	-1	-1	-1	593	87	3	35	100
39993088	-1	-1	-1	-1	593	88	4	42	100
39993089	-1	-1	-1	-1	593	89	5	57	100
39993090	-1	-1	-1	-1	655	90	1	50	100
39993091	-1	-1	-1	-1	655	91	2	68	100
39993092	-1	-1	-1	-1	655	92	3	90	100
39993093	-1	-1	-1	-1	655	93	4	115	100
39993094	-1	-1	-1	-1	655	94	5	143	100
39993095	-1	-1	-1	-1	655	95	1	50	100
39993096	-1	-1	-1	-1	655	96	2	68	100
39993097	-1	-1	-1	-1	655	97	3	90	100
39993098	-1	-1	-1	-1	655	98	4	115	100
39993099	-1	-1	-1	-1	655	99	5	143	100
39993100	-1	-1	-1	-1	655	100	1	50	100
39993101	-1	-1	-1	-1	655	101	2	68	100
39993102	-1	-1	-1	-1	655	102	3	90	100
39993103	-1	-1	-1	-1	655	103	4	115	100
39993104	-1	-1	-1	-1	655	104	5	143	100
39993105	-1	-1	-1	-1	655	105	1	50	100
39993106	-1	-1	-1	-1	655	106	2	68	100
39993107	-1	-1	-1	-1	655	107	3	90	100
39993108	-1	-1	-1	-1	655	108	4	115	100
39993109	-1	-1	-1	-1	655	109	5	143	100
39993110	-1	-1	-1	-1	655	110	1	50	100
39993111	-1	-1	-1	-1	655	111	2	68	100
39993112	-1	-1	-1	-1	655	112	3	90	100
39993113	-1	-1	-1	-1	655	113	4	115	100
39993114	-1	-1	-1	-1	655	114	5	143	100
39993115	-1	-1	-1	-1	655	115	1	50	100
39993116	-1	-1	-1	-1	655	116	2	68	100
39993117	-1	-1	-1	-1	655	117	3	90	100
39993118	-1	-1	-1	-1	655	118	4	115	100
39993119	-1	-1	-1	-1	655	119	5	143	100
39993120	-1	-1	-1	-1	655	120	1	50	100
39993121	-1	-1	-1	-1	655	121	2	68	100
39993122	-1	-1	-1	-1	655	122	3	90	100
39993123	-1	-1	-1	-1	655	123	4	115	100
39993124	-1	-1	-1	-1	655	124	5	143	100
39993125	-1	-1	-1	-1	655	125	1	50	100
39993126	-1	-1	-1	-1	655	126	2	68	100
39993127	-1	-1	-1	-1	655	127	3	90	100
39993128	-1	-1	-1	-1	655	128	4	115	100
39993129	-1	-1	-1	-1	655	129	5	143	100
39993130	-1	-1	-1	-1	655	130	1	50	100
39993131	-1	-1	-1	-1	655	131	2	68	100
39993132	-1	-1	-1	-1	655	132	3	90	100
39993133	-1	-1	-1	-1	655	133	4	115	100
39993134	-1	-1	-1	-1	655	134	5	143	100
39993135	-1	-1	-1	-1	531	135	6	32	100
39993136	-1	-1	-1	-1	531	136	6	32	100
39993137	-1	-1	-1	-1	531	137	6	32	100
39993138	-1	-1	-1	-1	531	138	6	32	100
39993139	-1	-1	-1	-1	531	139	6	32	100
39993140	-1	-1	-1	-1	531	140	6	32	100
39993141	-1	-1	-1	-1	531	141	6	32	100
39993142	-1	-1	-1	-1	531	142	6	32	100
39993143	-1	-1	-1	-1	531	143	6	32	100
39993144	-1	-1	-1	-1	593	144	6	88	100
39993145	-1	-1	-1	-1	593	145	6	88	100
39993146	-1	-1	-1	-1	593	146	6	88	100
39993147	-1	-1	-1	-1	593	147	6	88	100
39993148	-1	-1	-1	-1	593	148	6	88	100
39993149	-1	-1	-1	-1	593	149	6	88	100
39993150	-1	-1	-1	-1	593	150	6	88	100
39993151	-1	-1	-1	-1	593	151	6	88	100
39993152	-1	-1	-1	-1	593	152	6	88	100
39993153	-1	-1	-1	-1	655	153	6	174	100
39993154	-1	-1	-1	-1	655	154	6	174	100
39993155	-1	-1	-1	-1	655	155	6	174	100
39993156	-1	-1	-1	-1	655	156	6	174	100
39993157	-1	-1	-1	-1	655	157	6	174	100
39993158	-1	-1	-1	-1	655	158	6	174	100
39993159	-1	-1	-1	-1	655	159	6	174	100
39993160	-1	-1	-1	-1	655	160	6	174	100
39993161	-1	-1	-1	-1	655	161	6	174	100
39993162	-1	-1	-1	-1	531	162	1	1	80
39994000	587	587	-1	-1	-1	0	1	1	80
39994001	587	587	-1	-1	-1	1	2	3	100
39994002	587	587	-1	-1	-1	2	3	7	100
39994003	587	587	-1	-1	-1	3	4	12	100
39994004	587	587	-1	-1	-1	4	5	20	100
39994005	587	587	-1	-1	-1	5	1	1	80
39994006	587	587	-1	-1	-1	6	2	3	100
39994007	587	587	-1	-1	-1	7	3	7	100
39994008	587	587	-1	-1	-1	8	4	12	100
39994009	587	587	-1	-1	-1	9	5	20	100
39994010	587	587	-1	-1	-1	10	1	1	80
39994011	587	587	-1	-1	-1	11	2	3	100
39994012	587	587	-1	-1	-1	12	3	7	100
39994013	587	587	-1	-1	-1	13	4	12	100
39994014	587	587	-1	-1	-1	14	5	20	100
39994015	587	587	-1	-1	-1	15	1	1	80
39994016	587	587	-1	-1	-1	16	2	3	100
39994017	587	587	-1	-1	-1	17	3	7	100
39994018	587	587	-1	-1	-1	18	4	12	100
39994019	587	587	-1	-1	-1	19	5	20	100
39994020	587	587	-1	-1	-1	20	1	1	80
39994021	587	587	-1	-1	-1	21	2	3	100
39994022	587	587	-1	-1	-1	22	3	7	100
39994023	587	587	-1	-1	-1	23	4	12	100
39994024	587	587	-1	-1	-1	24	5	20	100
39994025	587	587	-1	-1	-1	25	1	1	80
39994026	587	587	-1	-1	-1	26	2	3	100
39994027	587	587	-1	-1	-1	27	3	7	100
39994028	587	587	-1	-1	-1	28	4	12	100
39994029	587	587	-1	-1	-1	29	5	20	100
39994030	587	587	-1	-1	-1	30	1	1	80
39994031	587	587	-1	-1	-1	31	2	3	100
39994032	587	587	-1	-1	-1	32	3	7	100
39994033	587	587	-1	-1	-1	33	4	12	100
39994034	587	587	-1	-1	-1	34	5	20	100
39994035	587	587	-1	-1	-1	35	1	1	80
39994036	587	587	-1	-1	-1	36	2	3	100
39994037	587	587	-1	-1	-1	37	3	7	100
39994038	587	587	-1	-1	-1	38	4	12	100
39994039	587	587	-1	-1	-1	39	5	20	100
39994040	587	587	-1	-1	-1	40	1	1	80
39994041	587	587	-1	-1	-1	41	2	3	100
39994042	587	587	-1	-1	-1	42	3	7	100
39994043	587	587	-1	-1	-1	43	4	12	100
39994044	587	587	-1	-1	-1	44	5	20	100
39994045	657	657	-1	-1	-1	45	1	20	100
39994046	657	657	-1	-1	-1	46	2	30	100
39994047	657	657	-1	-1	-1	47	3	35	100
39994048	657	657	-1	-1	-1	48	4	42	100
39994049	657	657	-1	-1	-1	49	5	57	100
39994050	657	657	-1	-1	-1	50	1	20	100
39994051	657	657	-1	-1	-1	51	2	30	100
39994052	657	657	-1	-1	-1	52	3	35	100
39994053	657	657	-1	-1	-1	53	4	42	100
39994054	657	657	-1	-1	-1	54	5	57	100
39994055	657	657	-1	-1	-1	55	1	20	100
39994056	657	657	-1	-1	-1	56	2	30	100
39994057	657	657	-1	-1	-1	57	3	35	100
39994058	657	657	-1	-1	-1	58	4	42	100
39994059	657	657	-1	-1	-1	59	5	57	100
39994060	657	657	-1	-1	-1	60	1	20	100
39994061	657	657	-1	-1	-1	61	2	30	100
39994062	657	657	-1	-1	-1	62	3	35	100
39994063	657	657	-1	-1	-1	63	4	42	100
39994064	657	657	-1	-1	-1	64	5	57	100
39994065	657	657	-1	-1	-1	65	1	20	100
39994066	657	657	-1	-1	-1	66	2	30	100
39994067	657	657	-1	-1	-1	67	3	35	100
39994068	657	657	-1	-1	-1	68	4	42	100
39994069	657	657	-1	-1	-1	69	5	57	100
39994070	657	657	-1	-1	-1	70	1	20	100
39994071	657	657	-1	-1	-1	71	2	30	100
39994072	657	657	-1	-1	-1	72	3	35	100
39994073	657	657	-1	-1	-1	73	4	42	100
39994074	657	657	-1	-1	-1	74	5	57	100
39994075	657	657	-1	-1	-1	75	1	20	100
39994076	657	657	-1	-1	-1	76	2	30	100
39994077	657	657	-1	-1	-1	77	3	35	100
39994078	657	657	-1	-1	-1	78	4	42	100
39994079	657	657	-1	-1	-1	79	5	57	100
39994080	657	657	-1	-1	-1	80	1	20	100
39994081	657	657	-1	-1	-1	81	2	30	100
39994082	657	657	-1	-1	-1	82	3	35	100
39994083	657	657	-1	-1	-1	83	4	42	100
39994084	657	657	-1	-1	-1	84	5	57	100
39994085	657	657	-1	-1	-1	85	1	20	100
39994086	657	657	-1	-1	-1	86	2	30	100
39994087	657	657	-1	-1	-1	87	3	35	100
39994088	657	657	-1	-1	-1	88	4	42	100
39994089	657	657	-1	-1	-1	89	5	57	100
39994090	727	727	-1	-1	-1	90	1	50	100
39994091	727	727	-1	-1	-1	91	2	68	100
39994092	727	727	-1	-1	-1	92	3	90	100
39994093	727	727	-1	-1	-1	93	4	115	100
39994094	727	727	-1	-1	-1	94	5	143	100
39994095	727	727	-1	-1	-1	95	1	50	100
39994096	727	727	-1	-1	-1	96	2	68	100
39994097	727	727	-1	-1	-1	97	3	90	100
39994098	727	727	-1	-1	-1	98	4	115	100
39994099	727	727	-1	-1	-1	99	5	143	100
39994100	727	727	-1	-1	-1	100	1	50	100
39994101	727	727	-1	-1	-1	101	2	68	100
39994102	727	727	-1	-1	-1	102	3	90	100
39994103	727	727	-1	-1	-1	103	4	115	100
39994104	727	727	-1	-1	-1	104	5	143	100
39994105	727	727	-1	-1	-1	105	1	50	100
39994106	727	727	-1	-1	-1	106	2	68	100
39994107	727	727	-1	-1	-1	107	3	90	100
39994108	727	727	-1	-1	-1	108	4	115	100
39994109	727	727	-1	-1	-1	109	5	143	100
39994110	727	727	-1	-1	-1	110	1	50	100
39994111	727	727	-1	-1	-1	111	2	68	100
39994112	727	727	-1	-1	-1	112	3	90	100
39994113	727	727	-1	-1	-1	113	4	115	100
39994114	727	727	-1	-1	-1	114	5	143	100
39994115	727	727	-1	-1	-1	115	1	50	100
39994116	727	727	-1	-1	-1	116	2	68	100
39994117	727	727	-1	-1	-1	117	3	90	100
39994118	727	727	-1	-1	-1	118	4	115	100
39994119	727	727	-1	-1	-1	119	5	143	100
39994120	727	727	-1	-1	-1	120	1	50	100
39994121	727	727	-1	-1	-1	121	2	68	100
39994122	727	727	-1	-1	-1	122	3	90	100
39994123	727	727	-1	-1	-1	123	4	115	100
39994124	727	727	-1	-1	-1	124	5	143	100
39994125	727	727	-1	-1	-1	125	1	50	100
39994126	727	727	-1	-1	-1	126	2	68	100
39994127	727	727	-1	-1	-1	127	3	90	100
39994128	727	727	-1	-1	-1	128	4	115	100
39994129	727	727	-1	-1	-1	129	5	143	100
39994130	727	727	-1	-1	-1	130	1	50	100
39994131	727	727	-1	-1	-1	131	2	68	100
39994132	727	727	-1	-1	-1	132	3	90	100
39994133	727	727	-1	-1	-1	133	4	115	100
39994134	727	727	-1	-1	-1	134	5	143	100
39994135	587	587	-1	-1	-1	135	6	32	100
39994136	587	587	-1	-1	-1	136	6	32	100
39994137	587	587	-1	-1	-1	137	6	32	100
39994138	587	587	-1	-1	-1	138	6	32	100
39994139	587	587	-1	-1	-1	139	6	32	100
39994140	587	587	-1	-1	-1	140	6	32	100
39994141	587	587	-1	-1	-1	141	6	32	100
39994142	587	587	-1	-1	-1	142	6	32	100
39994143	587	587	-1	-1	-1	143	6	32	100
39994144	657	657	-1	-1	-1	144	6	88	100
39994145	657	657	-1	-1	-1	145	6	88	100
39994146	657	657	-1	-1	-1	146	6	88	100
39994147	657	657	-1	-1	-1	147	6	88	100
39994148	657	657	-1	-1	-1	148	6	88	100
39994149	657	657	-1	-1	-1	149	6	88	100
39994150	657	657	-1	-1	-1	150	6	88	100
39994151	657	657	-1	-1	-1	151	6	88	100
39994152	657	657	-1	-1	-1	152	6	88	100
39994153	727	727	-1	-1	-1	153	6	174	100
39994154	727	727	-1	-1	-1	154	6	174	100
39994155	727	727	-1	-1	-1	155	6	174	100
39994156	727	727	-1	-1	-1	156	6	174	100
39994157	727	727	-1	-1	-1	157	6	174	100
39994158	727	727	-1	-1	-1	158	6	174	100
39994159	727	727	-1	-1	-1	159	6	174	100
39994160	727	727	-1	-1	-1	160	6	174	100
39994161	727	727	-1	-1	-1	161	6	174	100
39994162	587	587	-1	-1	-1	162	1	1	80
